sample_id,text,true_label,predicted_label,confidence_score,error_type,root_cause,flagged_keywords
TEST_0058,"Dạ em bên lễ tân khách sạn Đà Nẵng, phòng anh đặt còn thiếu một triệu tiền giữ chỗ cuối tuần, anh chuyển qua số này để em xuất hoá đơn điện tử nha.",1,0,0.4655,FN,"Kịch bản lừa đảo tinh vi, thiếu từ khoá cảnh báo (subtle_coercion_missing_keywords)",[None]
TEST_0159,"Em đang kẹt tiền đóng tiền phòng trọ chiều nay, anh bạn tốt bụng bắn qua tài khoản em mượn tạm hai triệu tối em lãnh lương trả liền nghen.",1,0,0.4866,FN,"Kịch bản lừa đảo tinh vi, thiếu từ khoá cảnh báo (subtle_coercion_missing_keywords)",[None]
TEST_0161,"Dạ em bên lễ tân khách sạn Đà Nẵng, phòng anh đặt còn thiếu một triệu tiền giữ chỗ cuối tuần, anh chuyển qua số này để em xuất hoá đơn điện tử nha.",1,0,0.4901,FN,"Kịch bản lừa đảo tinh vi, thiếu từ khoá cảnh báo (subtle_coercion_missing_keywords)",[None]
TEST_0006,"Công an thành phố khuyến cáo người dân nâng cao cảnh giác, tuyệt đối không chuyển khoản hoặc cung cấp mã OTP cho đối tượng xưng danh cơ quan điều tra.",0,1,0.5343,FP,Giao dịch tài chính hợp lệ chứa từ khoá nhạy cảm (benign_transaction_noisy_keywords),"công an, cơ quan điều tra, chuyển khoản, otp, mã otp"
TEST_0112,"Ngân hàng TMCP Quân Đội thông báo: Quý khách vừa thực hiện giao dịch chuyển khoản 300,000 VND thành công đến số tài khoản 0987654321.",0,1,0.514,FP,Giao dịch tài chính hợp lệ chứa từ khoá nhạy cảm (benign_transaction_noisy_keywords),"chuyển khoản, số tài khoản"
TEST_0066,"Công an thành phố khuyến cáo người dân nâng cao cảnh giác, tuyệt đối không chuyển khoản hoặc cung cấp mã OTP cho đối tượng xưng danh cơ quan điều tra.",0,1,0.5111,FP,Giao dịch tài chính hợp lệ chứa từ khoá nhạy cảm (benign_transaction_noisy_keywords),"công an, cơ quan điều tra, chuyển khoản, otp, mã otp"
TEST_0083,"Công an thành phố khuyến cáo người dân nâng cao cảnh giác, tuyệt đối không chuyển khoản hoặc cung cấp mã OTP cho đối tượng xưng danh cơ quan điều tra.",0,1,0.5028,FP,Giao dịch tài chính hợp lệ chứa từ khoá nhạy cảm (benign_transaction_noisy_keywords),"công an, cơ quan điều tra, chuyển khoản, otp, mã otp"
TEST_0011,Viện kiểm sát nhân dân tối cao cảnh báo các chiêu trò giả mạo lệnh bắt tạm giam và quyết định khởi tố để đe doạ người dân nộp tiền chiếm đoạt tài sản.,0,1,0.5007,FP,Giao dịch tài chính hợp lệ chứa từ khoá nhạy cảm (benign_transaction_noisy_keywords),"viện kiểm sát, nộp tiền"
TEST_0128,"Dạ em bên lễ tân khách sạn Đà Nẵng, phòng anh đặt còn thiếu một triệu tiền giữ chỗ cuối tuần, anh chuyển qua số này để em xuất hoá đơn điện tử nha.",1,1,0.5015,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0129,"Em đang kẹt tiền đóng tiền phòng trọ chiều nay, anh bạn tốt bụng bắn qua tài khoản em mượn tạm hai triệu tối em lãnh lương trả liền nghen.",1,1,0.502,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0044,"Dạ em bên lễ tân khách sạn Đà Nẵng, phòng anh đặt còn thiếu một triệu tiền giữ chỗ cuối tuần, anh chuyển qua số này để em xuất hoá đơn điện tử nha.",1,1,0.5081,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0015,"Dạ em bên lễ tân khách sạn Đà Nẵng, phòng anh đặt còn thiếu một triệu tiền giữ chỗ cuối tuần, anh chuyển qua số này để em xuất hoá đơn điện tử nha.",1,1,0.5218,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0165,"Em đang kẹt tiền đóng tiền phòng trọ chiều nay, anh bạn tốt bụng bắn qua tài khoản em mượn tạm hai triệu tối em lãnh lương trả liền nghen. !!!",1,1,0.5623,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0023,"Dạ em bên lễ tân khách sạn Đà Nẵng, phòng anh đặt còn thiếu một triệu tiền giữ chỗ cuối tuần, anh chuyển qua số này để em xuất hoá đơn điện tử nha. !!!",1,1,0.5785,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0010,Cơ hội việc làm thêm online uy tín: Xem video TikTok nhận tiền thưởng 200k/giờ. Chuyển tiền tạm ứng nhiệm vụ số 1 vào tài khoản 1900123456 để kích hoạt tài khoản VIP.,1,1,0.6215,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)","chuyển tiền, tạm ứng, tiền thưởng"
TEST_0005,"Tuyển cộng tác viên xử lý đơn hàng Shopee/Tiki tại nhà, lương 500k-1 triệu/ngày, thanh toán ngay trong ngày. Đặt cọc 500k làm nhiệm vụ đầu tiên, hoàn tiền và hoa hồng 20% sau 5 phút.",1,1,0.6247,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)","ngay, đặt cọc, thanh toán ngay, hoàn tiền"
TEST_0135,"DẠ EM BÊN LỄ TÂN KHÁCH SẠN ĐÀ NẴNG, PHÒNG ANH ĐẶT CÒN THIẾU MỘT TRIỆU TIỀN GIỮ CHỖ CUỐI TUẦN, ANH CHUYỂN QUA SỐ NÀY ĐỂ EM XUẤT HOÁ ĐƠN ĐIỆN TỬ NHA.",1,1,0.6277,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)",[None]
TEST_0126,"Chào em, anh là Minh bên bộ phận hỗ trợ hồ sơ bảo hiểm. Hồ sơ bị thiếu chữ ký số, em chuyển khoản trước phí hành chính 3 triệu vào tk 0987654321 rồi bên anh gửi lại sau nhé.",1,1,0.6319,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)","chuyển khoản, phí hành chính"
TEST_0017,"Chị ơi ví điểm tích lũy của chị sắp hết hạn đổi thưởng rồi đó, chị nhấp vào link này đăng nhập tài khoản lấy tiền về ví nhé. !!!",1,1,0.6415,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)","hết hạn, sắp hết"
TEST_0147,Cơ hội việc làm thêm online uy tín: Xem video TikTok nhận tiền thưởng 200k/giờ. Chuyển tiền tạm ứng nhiệm vụ số 1 vào tài khoản 1900123456 để kích hoạt tài khoản VIP.,1,1,0.6445,Borderline_FN_Risk,"Mẫu lừa đảo mấp mé ngưỡng cảnh báo, rủi ro thành FN nếu nhiễu âm (near_threshold_scam_risk)","chuyển tiền, tạm ứng, tiền thưởng"
